id,name,country_id,UTC+00:00,UTC
243,Asia/Almaty,112,UTC+06:00,+06
244,Asia/Amman,111,UTC+03:00,+03
245,Asia/Anadyr,181,UTC+12:00,+12
246,Asia/Aqtau,112,UTC+05:00,+05
247,Asia/Aqtobe,112,UTC+05:00,+05
248,Asia/Ashgabat,224,UTC+05:00,+05
249,Asia/Ashkhabad,224,UTC+05:00,+05
250,Asia/Atyrau,112,UTC+05:00,+05
251,Asia/Baghdad,104,UTC+03:00,+03
252,Asia/Bahrain,17,UTC+03:00,+03
253,Asia/Baku,15,UTC+04:00,+04
254,Asia/Bangkok,217,UTC+07:00,+07
255,Asia/Barnaul,181,UTC+07:00,+07
256,Asia/Beirut,121,UTC+03:00,EEST
257,Asia/Bishkek,118,UTC+06:00,+06
258,Asia/Brunei,32,UTC+08:00,+08
259,Asia/Calcutta,101,UTC+05:30,IST
260,Asia/Chita,181,UTC+09:00,+09
261,Asia/Choibalsan,146,UTC+08:00,+08
262,Asia/Chongqing,44,UTC+08:00,CST
263,Asia/Chungking,44,UTC+08:00,CST
264,Asia/Colombo,206,UTC+05:30,+0530
265,Asia/Dacca,18,UTC+06:00,+06
266,Asia/Damascus,213,UTC+03:00,+03
267,Asia/Dhaka,18,UTC+06:00,+06
268,Asia/Dili,62,UTC+09:00,+09
269,Asia/Dubai,229,UTC+04:00,+04
270,Asia/Dushanbe,215,UTC+05:00,+05
271,Asia/Famagusta,56,UTC+03:00,EEST
272,Asia/Gaza,168,UTC+03:00,EEST
273,Asia/Harbin,44,UTC+08:00,CST
274,Asia/Hebron,168,UTC+03:00,EEST
275,Asia/Ho_Chi_Minh,238,UTC+07:00,+07
276,Asia/Hong_Kong,98,UTC+08:00,HKT
277,Asia/Hovd,146,UTC+07:00,+07
278,Asia/Irkutsk,181,UTC+08:00,+08
279,Asia/Istanbul,223,UTC+03:00,+03
280,Asia/Jakarta,102,UTC+07:00,WIB
281,Asia/Jayapura,102,UTC+09:00,WIT
282,Asia/Jerusalem,106,UTC+03:00,IDT
283,Asia/Kabul,1,UTC+04:30,+0430
284,Asia/Kamchatka,181,UTC+12:00,+12
285,Asia/Karachi,166,UTC+05:00,PKT
286,Asia/Kashgar,44,UTC+06:00,+06
287,Asia/Kathmandu,153,UTC+05:45,+0545
288,Asia/Katmandu,153,UTC+05:45,+0545
